frequency_ry,frequency_cm-1,raman_legacy,raman_new,ir_legacy,ir_new
0.0002,21.94747206953807,18317.82119776754,18317.821197767757,872.2771998936922,872.2771998937026
0.00020867630700778644,22.89958709813872,18663.95809181839,18663.9580918183,888.759909134209,888.7599091342045
0.00021735261401557287,23.85170212673937,19138.286015826336,19138.28601582601,911.3469531345875,911.3469531345717
0.0002260289210233593,24.80381715534002,19767.56920598173,19767.569205981257,941.3128193324633,941.3128193324408
0.00023470522803114573,25.755932183940672,20571.930199494625,20571.930199494058,979.6157237854584,979.6157237854313
0.00024338153503893216,26.70804721254132,21562.537150552867,21562.53715055222,1026.7874833596602,1026.7874833596293
0.00025205784204671857,27.66016224114197,22737.700950519375,22737.70095051862,1082.7476643104465,1082.7476643104105
0.000260734149054505,28.61227726974262,24076.985932247113,24076.98593224635,1146.523139630815,1146.5231396307786
0.00026941045606229143,29.564392298343268,25533.789618294755,25533.789618293893,1215.8947437283214,1215.8947437282807
0.00027808676307007786,30.51650732694392,27028.191192153106,27028.191192152186,1287.056723435862,1287.0567234358184
0.0002867630700778643,31.46862235554457,28443.75774262902,28443.757742628084,1354.4646544109057,1354.4646544108612
0.0002954393770856507,32.42073738414522,29633.619265709713,29633.619265708807,1411.1247269385578,1411.1247269385146
0.00030411568409343716,33.37285241274587,30440.390993510213,30440.390993509336,1449.5424282623912,1449.5424282623494
0.0003127919911012236,34.32496744134652,30729.173509882523,30729.173509881773,1463.2939766610727,1463.2939766610368
0.00032146829810901,35.277082469947175,30423.749444843263,30423.749444842637,1448.7499735639649,1448.7499735639349
0.00033014460511679645,36.229197498547826,29529.6575259003,29529.657525899805,1406.1741679000143,1406.1741678999908
0.0003388209121245829,37.18131252714847,28131.789205318517,28131.789205318142,1339.609009777072,1339.6090097770543
0.0003474972191323693,38.13342755574912,26367.877325887086,26367.87732588681,1255.613205994623,1255.61320599461
0.00035617352614015574,39.085542584349774,24391.842210698087,24391.842210697905,1161.516295747528,1161.5162957475193
0.0003648498331479422,40.037657612950426,22342.788600778764,22342.788600778644,1063.9423143227984,1063.9423143227925
0.0003735261401557286,40.98977264155108,20327.887744456944,20327.887744456853,967.9946544979498,967.9946544979454
0.00038220244716351504,41.94188767015173,18418.610155668597,18418.610155668546,877.0766740794572,877.0766740794544
0.00039087875417130147,42.894002698752374,16655.312817802354,16655.312817802303,793.1101341810646,793.1101341810619
